category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
specific,accessibility,stars,2,1747,9107.103319977105,11062.5,1.1277138208707962,0.06772901034588302,1.0619031709360796,0.14112293453381788,chrome,1.0,True
specific,accessibility,downloads,2,1745,-870982.8504297994,5589536.0,-0.05664222678652695,0.26333295497269005,2.048648440533642,1.0940371380299723e-05,chrome,1.0,True
specific,accessibility,rating,2,1009,-13.890431032884953,0.21452358245849545,-0.40222501700585456,0.5969133563127983,,,chrome,1.0,True
specific,ad_blocking_content_filtering,stars,4,1745,14552.47106017192,2774.5,1.8073999285539655,0.01508422158510668,2.720128487796033,8.89015623463445e-06,firefox,1.0,True
specific,ad_blocking_content_filtering,downloads,4,1743,-4372563.074727481,-373463.0,-0.2843846559274718,0.13557575865752758,1.374819860250684,0.0005156488744614727,firefox,1.0,True
specific,ad_blocking_content_filtering,rating,4,1007,-13.939478686376281,0.24462358245849636,-0.4037105543160047,0.4291650601159376,,,firefox,1.0,True
specific,ad_blocking_privacy,stars,15,1734,3478.0851211072663,1151.0,0.43071096894538485,0.01256289642986132,-0.28970803481161056,0.3325467042894462,chrome,1.0,False
specific,ad_blocking_privacy,downloads,15,1732,-1297123.0219399538,1592299.0,-0.0843576073279873,0.16042263391137956,0.8634966650415085,7.667140231009847e-06,chrome,1.0,False
specific,ad_blocking_privacy,rating,10,1001,-15.213431480700217,0.29051277160644595,-0.4408845135626069,0.8256755427143363,,,chrome,1.0,False
specific,automation_workflow,stars,23,1726,-1524.9954405763517,498.0,-0.1887435457162149,0.08633828106176544,0.548608089189782,0.022624094579892975,homeassistant,1.0,False
specific,automation_workflow,downloads,23,1724,-6915038.554877434,-387801.0,-0.45029431590399494,1.7325697368650363e-08,0.15984570430433964,0.3041951251631177,homeassistant,1.0,False
specific,automation_workflow,rating,23,988,-18.69321853459607,-4.229979125213623,-0.5429870526808249,1.2646433951122222e-08,,,homeassistant,1.0,False
specific,build_ci_cd,stars,20,1729,16066.056304222095,18779.0,2.0339887744337326,2.103313290025569e-12,2.4052620070894353,6.533300812158736e-28,jetbrains,1.0,False
specific,build_ci_cd,downloads,20,1727,1106801.9546033582,3945373.5,0.07198012247694768,0.0003759184542923457,0.14023903011335176,0.3268528959836635,jetbrains,1.0,False
specific,build_run_tools,stars,15,1734,-1586.4163783160325,396.0,-0.19633218867744381,0.2697316620705512,0.910139383516122,0.0007985588019710676,sublime,1.0,False
specific,build_run_tools,downloads,15,1732,-6397682.176096998,-79839.0,-0.41636398293755067,0.8774369206288635,0.14390967432992874,0.41231059432379225,sublime,1.0,False
specific,cloud_remote_dev,stars,7,1742,1984.130309988519,3577.5,0.24554184585040334,0.0003215769887319052,1.6434285427381297,0.00015416243976247658,vscode,1.0,True
specific,cloud_remote_dev,downloads,7,1740,25756884.872167487,29351420.5,1.6845007945957604,0.00013428174974898152,0.3138995281720984,0.2638062557177444,vscode,1.0,True
specific,cloud_remote_dev,rating,7,1004,-14.015501797905564,0.21190214157104492,-0.406012119292716,0.421130598101772,,,vscode,1.0,True
specific,code_quality_linting,stars,49,1700,-654.0320768307322,349.0,-0.08093584542797985,0.08573541435145833,-0.29576954652043863,0.04754335547853838,jetbrains,0.3673469387755102,False
specific,code_quality_linting,downloads,49,1698,5209943.477704862,4482260.0,0.33934725158997087,4.99304257414812e-06,-0.10064615530133869,0.29691951482093437,jetbrains,0.3673469387755102,False
specific,code_quality_linting,rating,17,994,-14.27366698569076,0.14072370529174805,-0.4138420418877194,0.3950013086224802,,,jetbrains,0.3673469387755102,False
specific,content_editor_blocks,stars,19,1730,-1763.3881046547006,-404.0,-0.21825401213287865,9.128841749675624e-08,-0.3934035746815434,0.10934135853990666,wordpress,1.0,False
specific,content_editor_blocks,downloads,19,1728,-6891249.281371833,-390671.0,-0.448640095484056,2.833766431233272e-07,0.0013181173683366465,0.9933781144566728,wordpress,1.0,False
specific,content_editor_blocks,rating,18,993,77.2179591350981,91.86,2.3404737588738063,6.295166844872031e-11,,,wordpress,1.0,False
specific,customization_theming,stars,50,1699,1025.9591288993524,166.0,0.12697857896649006,0.045974727220393315,0.01758375314998961,0.9157274403514908,firefox,0.54,False
specific,customization_theming,downloads,50,1697,-6398108.424843842,-325471.5,-0.4170905989024076,5.230831045711786e-05,-0.06967956199010783,0.5164503291552098,firefox,0.54,False
specific,customization_theming,rating,43,968,-14.510459953963569,0.3822000000000001,-0.42163293112241584,0.0041649620484357506,,,firefox,0.54,False
specific,dashboard_ui_cards,stars,74,1675,-1867.5424848729326,-101.5,-0.2313366709617725,0.24373856298362806,-0.24437304305767782,0.21434607656748625,homeassistant,1.0,False
specific,dashboard_ui_cards,downloads,74,1673,-7121974.3226523,-444905.0,-0.46518994345990816,2.4621117058221535e-24,0.2659551078441759,0.036499852343617516,homeassistant,1.0,False
specific,dashboard_ui_cards,rating,74,937,-19.710672264867576,-4.3067,-0.5770933668837631,1.0431755887593358e-25,,,homeassistant,1.0,False
specific,data_storage_backup,stars,2,1747,-2038.141385231826,-70.0,-0.2522047051214669,0.7960437581857553,-0.19448371031041178,0.7689231323017964,homeassistant,1.0,True
specific,data_storage_backup,downloads,2,1745,-6861682.621489971,-394444.5,-0.4462826980438674,0.02841470241424095,-0.6954674851995315,0.10399763890245334,homeassistant,1.0,True
specific,data_storage_backup,rating,2,1009,-18.30416245012975,-4.194174766540527,-0.5300958534891888,0.09702820464747665,,,homeassistant,1.0,True
specific,data_visualization,stars,4,1745,-1660.6085959885386,85.5,-0.20549029245782285,0.7646855488312054,0.0584684645894229,0.9136189151368455,obsidian,1.0,True
specific,data_visualization,downloads,4,1743,-6707581.174125072,-236196.0,-0.4363051819982818,0.30438937296803137,-0.4261859258091655,0.22112808826209096,obsidian,1.0,True
specific,design_themes_ui,stars,28,1721,-1938.523429069478,-413.0,-0.23997791121211634,4.0613489059337847e-10,-0.10763442123611533,0.6161375284825816,wordpress,1.0,False
specific,design_themes_ui,downloads,28,1719,-6925628.938585556,-389482.0,-0.4511133940627323,1.6746443496399236e-09,0.13238756975602828,0.34001810806124877,wordpress,1.0,False
specific,design_themes_ui,rating,27,984,77.12510171526328,91.86236920509339,2.3937846677100505,5.896225998982834e-15,,,wordpress,1.0,False
specific,developer_tools,stars,142,1607,2201.4822870014114,-26.5,0.27316498663919114,0.5082891860443717,0.18607481860795172,0.06313184111526748,wordpress,0.33098591549295775,False
specific,developer_tools,downloads,141,1606,-4378971.00869523,-359925.0,-0.28563671099889765,9.014558473620037e-09,-0.20966981855773892,0.0011898473551272258,wordpress,0.33098591549295775,False
specific,developer_tools,rating,99,912,25.175955501535803,0.6727882072448734,0.7466705849864581,9.980325425330985e-14,,,wordpress,0.33098591549295775,False
specific,device_integration,stars,27,1722,-1410.849851593754,212.0,-0.17461622897015402,0.10788158543396056,0.42776071826738526,0.08431177267042365,homeassistant,1.0,False
specific,device_integration,downloads,27,1720,-6948665.895004306,-399319.0,-0.45259306331015714,4.355510563589851e-12,-0.22159872174828643,0.1664963937575982,homeassistant,1.0,False
specific,device_integration,rating,27,984,-18.769207227826136,-4.234177112579346,-0.5455145112826704,6.476373372291104e-10,,,homeassistant,1.0,False
specific,ecommerce_payments,stars,3,1746,-2346.836197021764,-423.0,-0.2904138035073792,0.014275456101328928,-1.7147934236939415,0.0050169653698874115,wordpress,1.0,True
